gene	number	code	class
TLX2	1	1000000	Transcription factor
TLX3	1	1000000	Transcription factor
TMSB4XP8	1	0010000	Others
TNR	2	1001000	Transcription factor,RNA binding protein
TOB2	1	0100000	Transcription cofactor
TOE1	2	1001000	RNA binding protein,Transcription factor
TOP1	1	0100000	Transcription cofactor
TOPORS	2	1100000	Transcription factor,Transcription cofactor
TOX4	1	1000000	Transcription factor
TP53	1	1000000	Transcription factor
TP63	1	1000000	Transcription factor
TP73	1	1000000	Transcription factor
TPI1	1	0000010	Nuclear enzyme
TPPP	1	0010000	Others
TRAF4	1	0010000	Others
TRIM21	1	0010000	Others
TRIM22	2	1100000	Transcription factor,Transcription cofactor
TRIM24	3	1100100	Transcription cofactor,Transcription factor,Chromatin remodeller
TRIM24	3	1100100	Transcription factor,Transcription cofactor,Chromatin remodeller
TRIM25	2	0101000	RNA binding protein,Transcription cofactor
TRIM28	3	1100100	Transcription factor,Transcription cofactor,Chromatin remodeller
TRIM69	1	0010000	Others
TRIP10	1	0010000	Others
TRIP13	2	1100000	Transcription factor,Transcription cofactor
TRMO	1	0010000	Others
TRMT1	1	0000010	Nuclear enzyme
TROVE2	1	0001000	RNA binding protein
TRRAP	2	0100100	Transcription cofactor,Chromatin remodeller
TSC22D4	1	1000000	Transcription factor
TSHZ1	1	1000000	Transcription factor
TSN	2	1001000	Transcription factor,RNA binding protein
TSNAX	1	0010000	Others
TTF1	1	1000000	Transcription factor
TULP1	1	1000000	Transcription factor
TWIST1	1	1000000	Transcription factor
TWIST2	1	1000000	Transcription factor
U2AF1	2	1001000	RNA binding protein,Transcription factor
U2AF1	2	1001000	Transcription factor,RNA binding protein
U2AF2	2	1001000	RNA binding protein,Transcription factor
UBE2K	1	0000010	Nuclear enzyme
UBE2O	2	0110000	Others,Transcription cofactor
UBE2V1	1	0010000	Others
UBN1	1	0010000	Others
UBP1	2	1001000	Transcription factor,RNA binding protein
UBTF	1	1000000	Transcription factor
UGP2	1	0001000	RNA binding protein
UNCX	1	1000000	Transcription factor
UQCRB	1	0010000	Others
USF1	1	1000000	Transcription factor
USF2	1	1000000	Transcription factor
USP39	1	0010000	Others
USP7	2	0100010	Transcription cofactor,Nuclear enzyme
UTP18	1	0001000	RNA binding protein
UVRAG	1	0010000	Others
VAMP3	1	0010000	Others
VAX1	1	1000000	Transcription factor
VAX2	1	1000000	Transcription factor
VBP1	1	0010000	Others
VDR	2	1001000	RNA binding protein,Transcription factor
VENTX	1	1000000	Transcription factor
VEZF1	1	1000000	Transcription factor
VPS4B	1	0010000	Others
VSX1	1	1000000	Transcription factor
VSX2	1	1000000	Transcription factor
VTN	2	1001000	RNA binding protein,Transcription factor
WDR83	1	0010000	Others
WISP2	1	0010000	Others
WIZ	2	1001000	Transcription factor,RNA binding protein
WRNIP1	1	1000000	Transcription factor
WT1	1	1000000	Transcription factor
XBP1	1	1000000	Transcription factor
XG	2	1001000	RNA binding protein,Transcription factor
XPA	2	1001000	Transcription factor,RNA binding protein
XRCC1	1	0010000	Others
XRCC3	1	1000000	Transcription factor
XRCC4	1	1000000	Transcription factor
XRCC5	2	1001000	Transcription factor,RNA binding protein
YAP1	1	0100000	Transcription cofactor
YBX1	2	1001000	RNA binding protein,Transcription factor
YBX1	2	1001000	Transcription factor,RNA binding protein
YBX3	2	1001000	RNA binding protein,Transcription factor
YBX3	2	1001000	Transcription factor,RNA binding protein
YEATS4	2	1000100	Chromatin remodeller,Transcription factor
YWHAE	1	0010000	Others
YWHAZ	1	0010000	Others
YY1	2	1100000	Transcription cofactor,Transcription factor
YY2	1	1000000	Transcription factor
ZBED1	1	1000000	Transcription factor
ZBED4	1	1000000	Transcription factor
ZBTB1	1	1000000	Transcription factor
ZBTB11	1	1000000	Transcription factor
ZBTB12	1	1000000	Transcription factor
ZBTB14	1	1000000	Transcription factor
ZBTB16	1	1000000	Transcription factor
ZBTB17	1	1000000	Transcription factor
ZBTB18	1	1000000	Transcription factor
ZBTB20	1	1000000	Transcription factor
ZBTB2	1	1000000	Transcription factor
