motif	TR
HM07657	HOXC11
HM10260	HOXC11
HM00473	HOXC12
HM00474	HOXC12
HM00475	HOXC13
HM07685	HOXC13
HM07565	HOXC4
HM10263	HOXC4
HM10981	HOXC4
HM00800	HOXC5
HM03645	HOXC5
HM02318	HOXC6
HM03646	HOXC6
HM02319	HOXC8
HM07575	HOXC8
HM07577	HOXC8
HM07627	HOXC9
HM07628	HOXC9
HM10267	HOXC9
HM07633	HOXD10
HM07634	HOXD10
HM10268	HOXD10
HM00478	HOXD11
HM01723	HOXD11
HM07669	HOXD11
HM00479	HOXD12
HM07675	HOXD12
HM04293	HOXD13
HM07688	HOXD13
HM07601	HOXD1
HM07602	HOXD1
HM10272	HOXD1
HM05697	HOXD3
HM07587	HOXD3
HM07588	HOXD3
HM07559	HOXD4
HM07560	HOXD4
HM10274	HOXD4
HM00483	HOXD8
HM03655	HOXD8
HM07571	HOXD8
HM02323	HOXD9
HM09515	HOXD9
HM09517	HOXD9
HM05698	HP1BP3
HM01733	HSF1
HM02305	HSF1
HM05699	HSF1
HM00128	HSF2
HM10278	HSF2
HM00129	HSF4
HM08498	HSF4
HM08499	HSF4
HM02658	HSF5
HM03151	HSF5
HM08482	HSF5
HM01736	HSFY1
HM08486	HSFY1
HM00130	HSFY2
HM01737	HSFY2
HM05700	HSPA1L
HM05701	HSPA5
HM05702	HTATIP2
HM06873	ICE1
HM06874	ICE1
HM06875	ICE1
HM06877	ICE2
HM06878	ICE2
HM06881	ICE2
HM00714	ID1
HM05703	ID2
HM04637	ID3
HM06883	ID3
HM06886	ID3
HM04068	ID4
HM01054	IKZF1
HM02324	IKZF1
HM02942	IKZF1
HM02905	IKZF2
HM03289	IKZF2
HM10283	IKZF2
HM02906	IKZF3
HM04641	IKZF5
HM04642	IKZF5
HM05704	IL24
HM06888	ILK
HM06890	ILK
HM06891	ILK
HM05705	ING3
HM00899	INSM1
HM02325	INSM1
HM05706	INSM1
HM01056	IRF1
HM05707	IRF1
HM06034	IRF1
HM01057	IRF2
HM02746	IRF2
HM03195	IRF2
HM01740	IRF3
HM02328	IRF3
HM02329	IRF4
HM03893	IRF4
HM05474	IRF4
HM00135	IRF5
HM00136	IRF5
HM08513	IRF5
HM05708	IRF6
HM08506	IRF6
HM08509	IRF6
HM00138	IRF7
HM01744	IRF7
HM05257	IRF7
HM00139	IRF8
HM01747	IRF8
HM02332	IRF8
HM00141	IRF9
HM02333	IRF9
HM08521	IRF9
HM01749	IRX2
HM03657	IRX2
HM03659	IRX3
HM04313	IRX3
HM07867	IRX3
HM03660	IRX4
HM00485	IRX5
HM07869	IRX5
HM10297	IRX5
HM10298	IRX6
